user_id,month,profile,expense,income,savings,debt_payments,discretionary_spend,net_cashflow,savings_rate,expense_ratio,debt_to_income,discretionary_ratio,avg_income,income_cv
U0001,2025-01-01,stable_saver,5721.44,7406.65,1747.65,260.38,1139.05,-62.440000000000055,0.23595687659063141,0.7724733854036575,0.03515489458797162,0.15378747476929516,7274.071666666667,0.07529691510344674
U0001,2025-02-01,stable_saver,5792.66,7736.67,1804.71,358.12,1060.48,139.30000000000018,0.2512721881636415,0.7487278118363585,0.0462886487338868,0.13707189268768089,7274.071666666667,0.07529691510344674
U0001,2025-03-01,stable_saver,5867.06,7594.63,1485.89,288.51,1202.07,241.6799999999996,0.22747256943392893,0.7725274305660711,0.0379886841096933,0.15827894183126762,7274.071666666667,0.07529691510344674
U0001,2025-04-01,stable_saver,5476.22,7136.43,1547.96,334.89,1123.58,112.25,0.23263872832774932,0.7673612716722507,0.04692682475691627,0.15744286709180919,7274.071666666667,0.07529691510344674
U0001,2025-05-01,stable_saver,5298.929999999999,6759.75,1342.52,253.45,1124.44,118.30000000000064,0.21610562520803292,0.7838943747919671,0.037493990162358076,0.16634342986057177,7274.071666666667,0.07529691510344674
U0001,2025-06-01,stable_saver,5038.179999999999,6557.47,1607.98,307.88,898.35,-88.68999999999915,0.24521347409900465,0.7683115591836485,0.0469510344690864,0.13699643307556114,7274.071666666667,0.07529691510344674
U0001,2025-07-01,stable_saver,5796.41,7630.13,1649.26,333.43,1266.09,184.46000000000026,0.24032618055000377,0.7596738194499962,0.04369912439237601,0.16593295264956165,7274.071666666667,0.07529691510344674
U0001,2025-08-01,stable_saver,5878.38,7894.8,1882.99,275.88,1313.25,133.43000000000006,0.2554111567107463,0.7445888432892537,0.034944520443836447,0.166343669250646,7274.071666666667,0.07529691510344674
U0001,2025-09-01,stable_saver,4519.97,6115.66,1537.23,230.09,883.03,58.45999999999958,0.2609186907055002,0.7390813092944998,0.037623085652243586,0.1443883407514479,7274.071666666667,0.07529691510344674
U0001,2025-10-01,stable_saver,5599.84,7563.55,1415.79,246.79,1174.97,547.9200000000001,0.2596280846956786,0.7403719153043213,0.03262885814201003,0.15534636513277494,7274.071666666667,0.07529691510344674
U0001,2025-11-01,stable_saver,5252.49,7153.91,1655.64,284.98,1006.02,245.77999999999997,0.26578752039094705,0.7342124796090529,0.03983555845684388,0.1406251965708263,7274.071666666667,0.07529691510344674
